
q;-900;0;200;200
w;-700;0;200;200
e;-500;0;200;200
r;-300;0;200;200
t;-100;0;200;200
y;100;0;200;200
u;300;0;200;200
i;500;0;200;200
o;700;0;200;200
p;900;0;200;200
a;-800;-173;200;200
s;-600;-173;200;200
d;-400;-173;200;200
f;-200;-173;200;200
g;0;-173;200;200
h;200;-173;200;200
j;400;-173;200;200
k;600;-173;200;200
l;800;-173;200;200
z;-700;-346;200;200
x;-500;-346;200;200
c;-300;-346;200;200
v;-100;-346;200;200
b;100;-346;200;200
n;300;-346;200;200
m;500;-346;200;200
';700;-346;200;200
 ;0;-750;1400;150
<return>;-1200;-346;300;300
<backspace>;1200;-346;300;300
